stop_id,stop_name
400406,ST NICHOLAS AV/W 145 ST
400408,ST NICHOLAS AV/W 151 ST
400409,ST NICHOLAS AV/W 153 ST
400414,ST NICHOLAS AV/W 163 ST
400418,ST NICHOLAS AV/W 170 ST
400419,ST NICHOLAS AV/W 173 ST
400422,ST NICHOLAS AV/W 179 ST
400423,ST NICHOLAS AV/W 181 ST
400426,ST NICHOLAS AV/W 187 ST
400448,ST NICHOLAS AV/W 192 ST
400449,ST NICHOLAS AV/W 190 ST
400452,ST NICHOLAS AV/W 184 ST
400453,ST NICHOLAS AV/W 181 ST
400454,ST NICHOLAS AV/W 178 ST
400457,ST NICHOLAS AV/W 172 ST
400461,ST NICHOLAS AV/W 164 ST
400462,ST NICHOLAS AV/W 162 ST
400466,ST NICHOLAS AV/W 152 ST
400467,ST NICHOLAS AV/W 150 ST
400468,ST NICHOLAS AV/W 148 ST
400469,ST NICHOLAS AV/W 145 ST
400470,ST NICHOLAS AV/W 142 ST
400471,ST NICHOLAS AV/W 141 ST
400472,ST NICHOLAS AV/W 138 ST
400473,ST NICHOLAS AV/W 135 ST
400474,ST NICHOLAS AV/W 133 ST
400475,ST NICHOLAS AV/W 130 ST
400476,ST NICHOLAS AV/W 128 ST
400477,ST NICHOLAS AV/W 125 ST
400479,MANHATTAN AV/W 122 ST
400482,MANHATTAN AV/W 116 ST
400483,MANHATTAN AV/W 114 ST
400484,MANHATTAN AV/W 112 ST
400485,CATHEDRAL PKY/MANHATTAN AV
400486,110 ST/CENTRAL PK W
400512,5 AV/W 59 ST
400514,5 AV/W 52 ST
400515,5 AV/W 49 ST
400516,5 AV/W 46 ST
400518,5 AV/W 41 ST
400519,5 AV/W 38 ST
400561,MADISON AV/E 42 ST
400595,CATHEDRAL PY/MANHATTAN AV
400596,CATHEDRAL PY/MORNINGSIDE DR
400597,CATHEDRAL PY/AMSTERDAM AV
400598,CATHEDRAL PY/BROADWAY
400599,RIVERSIDE DR/W 112 ST
400602,RIVERSIDE DR/W 119 ST
400609,BROADWAY/W 137 ST
400610,BROADWAY/W 139 ST
400611,BROADWAY/W 141 ST
400612,BROADWAY/W 143 ST
400613,BROADWAY/W 145 ST
400614,BROADWAY/W 147 ST
400615,BROADWAY/W 149 ST
400616,BROADWAY/W 151 ST
400617,BROADWAY/W 153 ST
400618,BROADWAY/W 155 ST
400619,BROADWAY/W 157 ST
400620,BROADWAY/W 159 ST
400621,BROADWAY/W 161 ST
400622,BROADWAY/W 163 ST
400623,BROADWAY/W 165 ST
400624,BROADWAY/W 168 ST
400626,FT WASHINGTON AV/W 171 ST
400627,FT WASHINGTON AV/W 173 ST
400628,FT WASHINGTON AV/W 175 ST
400629,FT WASHINGTON AV/W 177 ST
400630,FT WASHINGTON AV/W 179 ST
400631,FT WASHINGTON AV/W 181 ST
400632,FT WASHINGTON AV/W 183 ST
400633,FT WASHINGTON AV/W 185 ST
400634,FT WASHINGTON AV/W 187 ST
400635,FT WASHINGTON AV/W 190 ST
400636,FT WASHINGTON AV/CABRINI BL
400639,FT WASHINGTON AV/CABRINI BL
400640,FT WASHINGTON AV/W 190 ST
400641,FT WASHINGTON AV/W 187 ST
400642,FT WASHINGTON AV/W 185 ST
400643,FT WASHINGTON AV/W 183 ST
400644,FT WASHINGTON AV/W 181 ST
400645,FT WASHINGTON AV/W 179 ST
400646,FT WASHINGTON AV/W 177 ST
400647,FT WASHINGTON AV/W 174 ST
400648,FT WASHINGTON AV/W 172 ST
400649,FT WASHINGTON AV/W 170 ST
400655,BROADWAY/W 157 ST
400656,BROADWAY/W 155 ST
400657,BROADWAY/W 152 ST
400658,BROADWAY/W 150 ST
400659,BROADWAY/W 147 ST
400661,BROADWAY/W 142 ST
400662,BROADWAY/W 140 ST
400663,BROADWAY/W 138 ST
400676,CATHEDRAL PY/BROADWAY
400677,CATHEDRAL PKY/AMSTERDAM AV
400678,CATHEDRAL PY/COLUMBUS AV
400716,W 34 ST/BROADWAY
400719,W HOUSTON ST/SULLIVAN ST
400722,AV OF THE AMERICAS/W 3 ST
400723,AV OF THE AMERICAS/WAVERLY PL
400724,AV OF THE AMERICAS/W 10 ST
400725,AV OF THE AMERICAS/W 12 ST
400726,AV OF THE AMERICAS/W 15 ST
400731,AV OF THE AMERICAS/W 27 ST
400732,AV OF THE AMERICAS/W 29 ST
400744,W 57 ST/7 AV
400745,W 57 ST/BROADWAY
400747,BROADWAY/W 63 ST
400750,BROADWAY/W 69 ST
400751,W 72 ST/BROADWAY
400752,W 72 ST/WEST END AV
400755,RIVERSIDE DR/W 77 ST
400756,RIVERSIDE DR/W 79 ST
400759,RIVERSIDE DR/W 85 ST
400760,RIVERSIDE DR/W 87 ST
400761,RIVERSIDE DR/W 89 ST
400762,RIVERSIDE DR/W 91 ST
400764,RIVERSIDE DR/W 97 ST
400768,RIVERSIDE DR/W 106 ST
