stop_id,stop_name,direction
F31,Avenue I,STATION
F31N,Avenue I,UPT
F31S,Avenue I,DWT
F32,Bay Pkwy,STATION
F32N,Bay Pkwy,UPT
F32S,Bay Pkwy,DWT
F33,Avenue N,STATION
F33N,Avenue N,UPT
F33S,Avenue N,DWT
F34,Avenue P,STATION
F34N,Avenue P,UPT
F34S,Avenue P,DWT
F35,Kings Hwy,STATION
F35N,Kings Hwy,UPT
F35S,Kings Hwy,DWT
F36,Avenue U,STATION
F36N,Avenue U,UPT
F36S,Avenue U,DWT
F38,Avenue X,STATION
F38N,Avenue X,UPT
F38S,Avenue X,DWT
F39,Neptune Av,STATION
F39N,Neptune Av,UPT
F39S,Neptune Av,DWT
G05,Jamaica Center-Parsons/Archer,STATION
G05N,Jamaica Center-Parsons/Archer,UPT
G05S,Jamaica Center-Parsons/Archer,DWT
G06,Sutphin Blvd-Archer Av-JFK Airport,STATION
G06N,Sutphin Blvd-Archer Av-JFK Airport,UPT
G06S,Sutphin Blvd-Archer Av-JFK Airport,DWT
G07,Jamaica-Van Wyck,STATION
G07N,Jamaica-Van Wyck,UPT
G07S,Jamaica-Van Wyck,DWT
G08,Forest Hills-71 Av,STATION
G08N,Forest Hills-71 Av,UPT
G08S,Forest Hills-71 Av,DWT
G09,67 Av,STATION
G09N,67 Av,UPT
G09S,67 Av,DWT
G10,63 Dr-Rego Park,STATION
G10N,63 Dr-Rego Park,UPT
G10S,63 Dr-Rego Park,DWT
G11,Woodhaven Blvd,STATION
G11N,Woodhaven Blvd,UPT
G11S,Woodhaven Blvd,DWT
G12,Grand Av-Newtown,STATION
G12N,Grand Av-Newtown,UPT
G12S,Grand Av-Newtown,DWT
G13,Elmhurst Av,STATION
G13N,Elmhurst Av,UPT
G13S,Elmhurst Av,DWT
G14,Jackson Hts-Roosevelt Av,STATION
G14N,Jackson Hts-Roosevelt Av,UPT
G14S,Jackson Hts-Roosevelt Av,DWT
G15,65 St,STATION
G15N,65 St,UPT
G15S,65 St,DWT
G16,Northern Blvd,STATION
G16N,Northern Blvd,UPT
G16S,Northern Blvd,DWT
G18,46 St,STATION
G18N,46 St,UPT
G18S,46 St,DWT
G19,Steinway St,STATION
G19N,Steinway St,UPT
G19S,Steinway St,DWT
G20,36 St,STATION
G20N,36 St,UPT
G20S,36 St,DWT
G21,Queens Plaza,STATION
G21N,Queens Plaza,UPT
G21S,Queens Plaza,DWT
G22,Court Sq,STATION
G22N,Court Sq,UPT
G22S,Court Sq,DWT
G24,21 St,STATION
G24N,21 St,UPT
G24S,21 St,DWT
G26,Greenpoint Av,STATION
G26N,Greenpoint Av,UPT
G26S,Greenpoint Av,DWT
G28,Nassau Av,STATION
G28N,Nassau Av,UPT
G28S,Nassau Av,DWT
G29,Metropolitan Av,STATION
G29N,Metropolitan Av,UPT
G29S,Metropolitan Av,DWT
G30,Broadway,STATION
G30N,Broadway,UPT
G30S,Broadway,DWT
G31,Flushing Av,STATION
G31N,Flushing Av,UPT
G31S,Flushing Av,DWT
G32,Myrtle-Willoughby Avs,STATION
G32N,Myrtle-Willoughby Avs,UPT
G32S,Myrtle-Willoughby Avs,DWT
G33,Bedford-Nostrand Avs,STATION
G33N,Bedford-Nostrand Avs,UPT
G33S,Bedford-Nostrand Avs,DWT
G34,Classon Av,STATION
G34N,Classon Av,UPT
G34S,Classon Av,DWT
G35,Clinton-Washington Avs,STATION
G35N,Clinton-Washington Avs,UPT
G35S,Clinton-Washington Avs,DWT
G36,Fulton St,STATION
G36N,Fulton St,UPT
G36S,Fulton St,DWT
H01,Aqueduct Racetrack,STATION
H01N,Aqueduct Racetrack,UPT
H01S,Aqueduct Racetrack,DWT
H02,Aqueduct-N Conduit Av,STATION
H02N,Aqueduct-N Conduit Av,UPT
H02S,Aqueduct-N Conduit Av,DWT
H03,Howard Beach-JFK Airport,STATION
H03N,Howard Beach-JFK Airport,UPT
H03S,Howard Beach-JFK Airport,DWT
H04,Broad Channel,STATION
H04N,Broad Channel,UPT
H04S,Broad Channel,DWT
H06,Beach 67 St,STATION
H06N,Beach 67 St,UPT
H06S,Beach 67 St,DWT
H07,Beach 60 St,STATION
H07N,Beach 60 St,UPT
H07S,Beach 60 St,DWT
H08,Beach 44 St,STATION
H08N,Beach 44 St,UPT
H08S,Beach 44 St,DWT
H09,Beach 36 St,STATION
H09N,Beach 36 St,UPT
H09S,Beach 36 St,DWT
H10,Beach 25 St,STATION
H10N,Beach 25 St,UPT
H10S,Beach 25 St,DWT
H11,Far Rockaway-Mott Av,STATION
H11N,Far Rockaway-Mott Av,UPT
H11S,Far Rockaway-Mott Av,DWT
H12,Beach 90 St,STATION
H12N,Beach 90 St,UPT
H12S,Beach 90 St,DWT
H13,Beach 98 St,STATION
H13N,Beach 98 St,UPT
H13S,Beach 98 St,DWT
H14,Beach 105 St,STATION
H14N,Beach 105 St,UPT
H14S,Beach 105 St,DWT
H15,Rockaway Park-Beach 116 St,STATION
H15N,Rockaway Park-Beach 116 St,UPT
H15S,Rockaway Park-Beach 116 St,DWT
H19,Broad Channel,STATION
H19N,Broad Channel,UPT
H19S,Broad Channel,DWT
J12,121 St,STATION
J12N,121 St,UPT
J12S,121 St,DWT
J13,111 St,STATION
J13N,111 St,UPT
J13S,111 St,DWT
J14,104 St,STATION
J14N,104 St,UPT
J14S,104 St,DWT
J15,Woodhaven Blvd,STATION
J15N,Woodhaven Blvd,UPT
J15S,Woodhaven Blvd,DWT
J16,85 St-Forest Pkwy,STATION
J16N,85 St-Forest Pkwy,UPT
J16S,85 St-Forest Pkwy,DWT
J17,75 St-Elderts Ln,STATION
J17N,75 St-Elderts Ln,UPT
J17S,75 St-Elderts Ln,DWT
J19,Cypress Hills,STATION
J19N,Cypress Hills,UPT
J19S,Cypress Hills,DWT
J20,Crescent St,STATION
J20N,Crescent St,UPT
J20S,Crescent St,DWT
J21,Norwood Av,STATION
J21N,Norwood Av,UPT
J21S,Norwood Av,DWT
J22,Cleveland St,STATION
J22N,Cleveland St,UPT
J22S,Cleveland St,DWT
J23,Van Siclen Av,STATION
J23N,Van Siclen Av,UPT
J23S,Van Siclen Av,DWT
J24,Alabama Av,STATION
J24N,Alabama Av,UPT
J24S,Alabama Av,DWT
J27,Broadway Junction,STATION
J27N,Broadway Junction,UPT
J27S,Broadway Junction,DWT
J28,Chauncey St,STATION
J28N,Chauncey St,UPT
J28S,Chauncey St,DWT
J29,Halsey St,STATION
J29N,Halsey St,UPT
J29S,Halsey St,DWT
J30,Gates Av,STATION
J30N,Gates Av,UPT
J30S,Gates Av,DWT
J31,Kosciuszko St,STATION
J31N,Kosciuszko St,UPT
J31S,Kosciuszko St,DWT
L01,8 Av,STATION
L01N,8 Av,UPT
L01S,8 Av,DWT
L02,6 Av,STATION
L02N,6 Av,UPT
L02S,6 Av,DWT
L03,14 St-Union Sq,STATION
L03N,14 St-Union Sq,UPT
L03S,14 St-Union Sq,DWT
L05,3 Av,STATION
L05N,3 Av,UPT
L05S,3 Av,DWT
L06,1 Av,STATION
L06N,1 Av,UPT
L06S,1 Av,DWT
L08,Bedford Av,STATION
L08N,Bedford Av,UPT
L08S,Bedford Av,DWT
L10,Lorimer St,STATION
L10N,Lorimer St,UPT
L10S,Lorimer St,DWT
L11,Graham Av,STATION
L11N,Graham Av,UPT
L11S,Graham Av,DWT
L12,Grand St,STATION
L12N,Grand St,UPT
L12S,Grand St,DWT
L13,Montrose Av,STATION
L13N,Montrose Av,UPT
L13S,Montrose Av,DWT
L14,Morgan Av,STATION
L14N,Morgan Av,UPT
L14S,Morgan Av,DWT
L15,Jefferson St,STATION
L15N,Jefferson St,UPT
L15S,Jefferson St,DWT
L16,DeKalb Av,STATION
L16N,DeKalb Av,UPT
L16S,DeKalb Av,DWT
L17,Myrtle-Wyckoff Avs,STATION
L17N,Myrtle-Wyckoff Avs,UPT
L17S,Myrtle-Wyckoff Avs,DWT
L19,Halsey St,STATION
L19N,Halsey St,UPT
L19S,Halsey St,DWT
L20,Wilson Av,STATION
L20N,Wilson Av,UPT
L20S,Wilson Av,DWT
L21,Bushwick Av-Aberdeen St,STATION
L21N,Bushwick Av-Aberdeen St,UPT
L21S,Bushwick Av-Aberdeen St,DWT
L22,Broadway Junction,STATION
L22N,Broadway Junction,UPT
L22S,Broadway Junction,DWT
L24,Atlantic Av,STATION
L24N,Atlantic Av,UPT
L24S,Atlantic Av,DWT
L25,Sutter Av,STATION
L25N,Sutter Av,UPT
L25S,Sutter Av,DWT
L26,Livonia Av,STATION
L26N,Livonia Av,UPT
L26S,Livonia Av,DWT
L27,New Lots Av,STATION
L27N,New Lots Av,UPT
L27S,New Lots Av,DWT
L28,East 105 St,STATION
L28N,East 105 St,UPT
L28S,East 105 St,DWT
L29,Canarsie-Rockaway Pkwy,STATION
L29N,Canarsie-Rockaway Pkwy,UPT
L29S,Canarsie-Rockaway Pkwy,DWT
M01,Middle Village-Metropolitan Av,STATION
M01N,Middle Village-Metropolitan Av,UPT
M01S,Middle Village-Metropolitan Av,DWT
M04,Fresh Pond Rd,STATION
M04N,Fresh Pond Rd,UPT
M04S,Fresh Pond Rd,DWT
M05,Forest Av,STATION
M05N,Forest Av,UPT
M05S,Forest Av,DWT
M06,Seneca Av,STATION
M06N,Seneca Av,UPT
M06S,Seneca Av,DWT
M08,Myrtle-Wyckoff Avs,STATION
M08N,Myrtle-Wyckoff Avs,UPT
M08S,Myrtle-Wyckoff Avs,DWT
M09,Knickerbocker Av,STATION
M09N,Knickerbocker Av,UPT
M09S,Knickerbocker Av,DWT
M10,Central Av,STATION
M10N,Central Av,UPT
M10S,Central Av,DWT
M11,Myrtle Av,STATION
M11N,Myrtle Av,UPT
M11S,Myrtle Av,DWT
M12,Flushing Av,STATION
M12N,Flushing Av,UPT
M12S,Flushing Av,DWT
M13,Lorimer St,STATION
M13N,Lorimer St,UPT
M13S,Lorimer St,DWT
M14,Hewes St,STATION
M14N,Hewes St,UPT
M14S,Hewes St,DWT
M16,Marcy Av,STATION
M16N,Marcy Av,UPT
M16S,Marcy Av,DWT
M18,Delancey St-Essex St,STATION
M18N,Delancey St-Essex St,UPT
M18S,Delancey St-Essex St,DWT
M19,Bowery,STATION
M19N,Bowery,UPT
M19S,Bowery,DWT
M20,Canal St,STATION
M20N,Canal St,UPT
M20S,Canal St,DWT
M21,Chambers St,STATION
M21N,Chambers St,UPT
M21S,Chambers St,DWT
M22,Fulton St,STATION
M22N,Fulton St,UPT
M22S,Fulton St,DWT
M23,Broad St,STATION
M23N,Broad St,UPT
M23S,Broad St,DWT
N02,8 Av,STATION
N02N,8 Av,UPT
N02S,8 Av,DWT
N03,Fort Hamilton Pkwy,STATION
N03N,Fort Hamilton Pkwy,UPT
N03S,Fort Hamilton Pkwy,DWT
N04,New Utrecht Av,STATION
N04N,New Utrecht Av,UPT
N04S,New Utrecht Av,DWT
N05,18 Av,STATION
N05N,18 Av,UPT
N05S,18 Av,DWT
N06,20 Av,STATION
N06N,20 Av,UPT
N06S,20 Av,DWT
N07,Bay Pkwy,STATION
N07N,Bay Pkwy,UPT
N07S,Bay Pkwy,DWT
N08,Kings Hwy,STATION
N08N,Kings Hwy,UPT
N08S,Kings Hwy,DWT
N09,Avenue U,STATION
N09N,Avenue U,UPT
N09S,Avenue U,DWT
N10,86 St,STATION
N10N,86 St,UPT
N10S,86 St,DWT
N12,S.B. Coney Island,STATION
N12N,S.B. Coney Island,UPT
N12S,S.B. Coney Island,DWT
Q01,Canal St,STATION
Q01N,Canal St,UPT
Q01S,Canal St,DWT
Q03,72 St,STATION
Q03N,72 St,UPT
Q03S,72 St,DWT
Q04,86 St,STATION
Q04N,86 St,UPT
Q04S,86 St,DWT
Q05,96 St,STATION
Q05N,96 St,UPT
Q05S,96 St,DWT
R01,Astoria-Ditmars Blvd,STATION
R01N,Astoria-Ditmars Blvd,UPT
R01S,Astoria-Ditmars Blvd,DWT
R03,Astoria Blvd,STATION
R03N,Astoria Blvd,UPT
R03S,Astoria Blvd,DWT
R04,30 Av,STATION
R04N,30 Av,UPT
R04S,30 Av,DWT
R05,Broadway,STATION
R05N,Broadway,UPT
R05S,Broadway,DWT
R06,36 Av,STATION
R06N,36 Av,UPT
R06S,36 Av,DWT
R08,39 Av-Dutch Kills,STATION
R08N,39 Av-Dutch Kills,UPT
R08S,39 Av-Dutch Kills,DWT
R09,Queensboro Plaza,STATION
R09N,Queensboro Plaza,UPT
R09S,Queensboro Plaza,DWT
R11,Lexington Av/59 St,STATION
R11N,Lexington Av/59 St,UPT
R11S,Lexington Av/59 St,DWT
R13,5 Av/59 St,STATION
R13N,5 Av/59 St,UPT
R13S,5 Av/59 St,DWT
R14,57 St-7 Av,STATION
R14N,57 St-7 Av,UPT
R14S,57 St-7 Av,DWT
R15,49 St,STATION
R15N,49 St,UPT
R15S,49 St,DWT
R16,Times Sq-42 St,STATION
R16N,Times Sq-42 St,UPT
R16S,Times Sq-42 St,DWT
R17,34 St-Herald Sq,STATION
R17N,34 St-Herald Sq,UPT
R17S,34 St-Herald Sq,DWT
R18,28 St,STATION
R18N,28 St,UPT
R18S,28 St,DWT
R19,23 St,STATION
R19N,23 St,UPT
R19S,23 St,DWT
R20,14 St-Union Sq,STATION
R20N,14 St-Union Sq,UPT
R20S,14 St-Union Sq,DWT
R21,8 St-NYU,STATION
R21N,8 St-NYU,UPT
R21S,8 St-NYU,DWT
R22,Prince St,STATION
R22N,Prince St,UPT
R22S,Prince St,DWT
R23,Canal St,STATION
R23N,Canal St,UPT
R23S,Canal St,DWT
R24,City Hall,STATION
R24N,City Hall,UPT
R24S,City Hall,DWT
R25,Cortlandt St,STATION
R25N,Cortlandt St,UPT
R25S,Cortlandt St,DWT
R26,Rector St,STATION
R26N,Rector St,UPT
R26S,Rector St,DWT
R27,Whitehall St-South Ferry,STATION
R27N,Whitehall St-South Ferry,UPT
R27S,Whitehall St-South Ferry,DWT
R28,Court St,STATION
R28N,Court St,UPT
R28S,Court St,DWT
R29,Jay St-MetroTech,STATION
R29N,Jay St-MetroTech,UPT
R29S,Jay St-MetroTech,DWT
R30,DeKalb Av,STATION
R30N,DeKalb Av,UPT
R30S,DeKalb Av,DWT
R31,Atlantic Av-Barclays Ctr,STATION
R31N,Atlantic Av-Barclays Ctr,UPT
R31S,Atlantic Av-Barclays Ctr,DWT
R32,Union St,STATION
R32N,Union St,UPT
R32S,Union St,DWT
R33,4 Av-9 St,STATION
R33N,4 Av-9 St,UPT
R33S,4 Av-9 St,DWT
R34,Prospect Av,STATION
R34N,Prospect Av,UPT
R34S,Prospect Av,DWT
R35,25 St,STATION
R35N,25 St,UPT
R35S,25 St,DWT
R36,36 St,STATION
R36N,36 St,UPT
R36S,36 St,DWT
R39,45 St,STATION
R39N,45 St,UPT
R39S,45 St,DWT
R40,53 St,STATION
R40N,53 St,UPT
R40S,53 St,DWT
R41,59 St,STATION
R41N,59 St,UPT
R41S,59 St,DWT
R42,Bay Ridge Av,STATION
R42N,Bay Ridge Av,UPT
R42S,Bay Ridge Av,DWT
R43,77 St,STATION
R43N,77 St,UPT
R43S,77 St,DWT
R44,86 St,STATION
R44N,86 St,UPT
R44S,86 St,DWT
R45,Bay Ridge-95 St,STATION
R45N,Bay Ridge-95 St,UPT
R45S,Bay Ridge-95 St,DWT
S01,Franklin Av,STATION
S01N,Franklin Av,UPT
S01S,Franklin Av,DWT
S03,Park Pl,STATION
S03N,Park Pl,UPT
S03S,Park Pl,DWT
S04,Botanic Garden,STATION
S04N,Botanic Garden,UPT
S04S,Botanic Garden,DWT
S09,Tottenville,STATION
S09N,Tottenville,UPT
S09S,Tottenville,DWT
S11,Arthur Kill,STATION
S11N,Arthur Kill,UPT
S11S,Arthur Kill,DWT
S13,Richmond Valley,STATION
S13N,Richmond Valley,UPT
S13S,Richmond Valley,DWT
S14,Pleasant Plains,STATION
S14N,Pleasant Plains,UPT
S14S,Pleasant Plains,DWT
S15,Prince's Bay,STATION
S15N,Prince's Bay,UPT
S15S,Prince's Bay,DWT
S16,Huguenot,STATION
S16N,Huguenot,UPT
S16S,Huguenot,DWT
S17,Annadale,STATION
S17N,Annadale,UPT
S17S,Annadale,DWT
S18,Eltingville,STATION
S18N,Eltingville,UPT
S18S,Eltingville,DWT
S19,Great Kills,STATION
S19N,Great Kills,UPT
S19S,Great Kills,DWT
S20,Bay Terrace,STATION
S20N,Bay Terrace,UPT
S20S,Bay Terrace,DWT
S21,Oakwood Heights,STATION
S21N,Oakwood Heights,UPT
S21S,Oakwood Heights,DWT
S22,New Dorp,STATION
S22N,New Dorp,UPT
S22S,New Dorp,DWT
S23,Grant City,STATION
S23N,Grant City,UPT
S23S,Grant City,DWT
S24,Jefferson Av,STATION
S24N,Jefferson Av,UPT
S24S,Jefferson Av,DWT
S25,Dongan Hills,STATION
S25N,Dongan Hills,UPT
S25S,Dongan Hills,DWT
S26,Old Town,STATION
S26N,Old Town,UPT
S26S,Old Town,DWT
S27,Grasmere,STATION
S27N,Grasmere,UPT
S27S,Grasmere,DWT
S28,Clifton,STATION
S28N,Clifton,UPT
S28S,Clifton,DWT
S29,Stapleton,STATION
S29N,Stapleton,UPT
S29S,Stapleton,DWT
S30,Tompkinsville,STATION
S30N,Tompkinsville,UPT
S30S,Tompkinsville,DWT
S31,St George,STATION
S31N,St George,UPT
S31S,St George,DWT
